revision,author,date,title,changed file,insertion,deletion
c7d3f9be585b5aa4d0d53350a0a23f68ddd3c22f,Alex Wilson,2012-02-14 13:25:26 +1000,Produce unimplemented warning for QOpenGLBuffer::map only once,1,10,2
bc4f74f5863fc0d6cad891632019c37a9e38617d,Thiago Macieira,2012-03-27 12:14:14 -0300,Don't hardcode the order of elements in QHashes,2,15,32
9848c8b92c70006e55a7fa569d06d62efaf5ccc1,Marc Mutz,2012-03-05 18:27:10 +0100,QDirIterator: don't inherit from QDir,2,3,3
534bcc96676ac02fc327f9e43d3785c7424b0750,Martin Petersson,2012-06-13 08:59:35 +0200,QNetworkAccessManager: delete the httpThread,2,12,4
e5d362f333ca74e4f63d8105b50044841e8fc8cd,Jonathan Liu,2012-02-24 23:03:49 +1100,Fix Windows -no-freetype build,2,180,180
87679b3499e68957998b98bf13b6d98b3aa8b4c3,Bea Lam,2012-08-28 11:21:19 +1000,Docs - add missing images and code,30,185,262
d057065cbb9cd3644e8a1f8729fcd93efea8bd90,Olivier Goffart,2012-01-13 18:28:07 +0100,Document Q_DECL_CONSTEXPR,1,11,0
a5e95ce39ebb84a5cd21258ceb1b64c544fc6d47,Friedemann Kleint,2012-10-25 12:45:13 +0200,Add manual test for dialogs.,5,559,1
3c213ae3647b0aeec05430726dc0cf35fb3b40e5,Lars Knoll,2012-11-30 10:09:34 +0100,Fix compilation,1,2,2
14bdff32e218663523f3940fe639ae792fdee1b1,Oswald Buddenhagen,2012-07-13 13:09:30 +0200,remove duplicate -L flags in findLibraries(),1,7,3
450d9ce4ba4a755bef66bc029d2ee2a2ae149814,Stephen Kelly,2012-07-18 17:35:52 +0200,Add a test for all QtBase modules.,3,123,0
817fb006c7583a852ca07df004994d1a5226d162,Michael Goddard,2012-01-27 14:10:35 +1000,Add a viewfinder resolution control for camera.,3,187,0
348c5bd19a08b3a341e066234ef4fb08ee81e3c0,Stephen Kelly,2012-12-04 11:46:40 +0100,Fix some typos in QProcess and QSslSocket unit tests.,2,2,3
ce5c8743e94b2ec6fc767e73ca3ec68b07b181b3,Frederik Gladhorn,2012-01-05 22:42:23 +0100,Constify more accessibility interface functions.,8,81,81
807579ff64e1182eede092927403ad9672c18755,Oswald Buddenhagen,2012-08-09 16:13:56 +0200,take parsing of qmake mode out of parseCommandLine(),1,24,26
752a02143b8b29bfde40d1e70482bc051457f251,Teemu Katajisto,2012-02-09 10:17:53 +0200,Various documentation fixes ported from Qt 4.8,11,29,15
56850d6cd7b9c3480b0efdf77a835429d034ac8b,Laszlo Agocs,2012-04-19 09:51:18 +0300,Remove internal QClipboardEvent,3,0,43
c7b9a60571ace1a555226c33a2dd5afbe6bfbcf4,Mark Brand,2012-03-19 08:55:02 +0100,QSqlRTM: fix whitespace,1,3,3
d17b56f42b77da1fa46c5b0fbc10a9b6c2a1e145,Jonas M. Gastal,2011-12-19 13:55:29 -0200,QLocalSocket shouldn't emit disconnected if it isn't connected yet.,1,1,1
a71e12b1709557e9a7263dbf191ec28689ccd992,Jason McDonald,2012-03-08 15:48:23 +1000,Remove redundant and incorrect comment from QList autotest.,1,0,6
14ddbd5f3aa4e090aca3c5c70df3d7eb9fd5e40d,Lorn Potter,2012-02-02 15:41:40 +1000,rename this as 'shake' collides and sensorgesturemanager ignores.,1,1,1
3b64f4d9a4c48f4e9cf19a446c551790f2658278,Alberto Mardegan,2012-07-05 17:56:51 +0400,MouseArea: use current value of drag.axis,4,109,11
792eb1029d0fa1b747deb2cd5b4b3a1cd5d3b13f,Sergio Ahumada,2012-10-29 23:27:51 +0100,test: Remove QSKIP from tst_QListView::setCurrentIndexAfterAppendRowCrash,1,5,4
f5e1da12f0e7bdeee4db74acc52dfabeb12a4e31,Mark Brand,2012-02-06 17:02:32 +0100,QSqlTableModel::removeRows(): don't emit extra beforeDelete,3,5,12
cf728e60a71629096188f5d680047414dbb4956b,Kai Koehne,2012-12-11 10:46:56 +0100,Fix compilation with (all versions of) MinGW,1,1,1
5764f5e6eaf149116a818658883cf4fae9830f30,David Faure,2012-05-14 17:17:11 +0200,QUrl: using sectionIsPresent in operator== broke for local files.,2,9,1
8ccab9b029ed2a2444d89a9cfc6c4a1866b8e82d,Andras Mantia,2012-07-01 17:11:00 +0300,Add support for SQLSTATE error codes,2,23,12
4e4403d69c60ea6429b3ad5e7898a84b1dc92be5,Friedemann Kleint,2012-05-08 13:14:09 +0200,No longer use deprecated methods for plugin loading.,14,204,150
c9542b0538e0ceadba244b6208099b5513951976,Thiago Macieira,2012-04-23 17:46:55 +0200,Don't use the QRegExp methods that modify the object [Designer],8,14,12
0c4cf655f0ee7d7147bf18e3e902bbf9496b92eb,Michael Brasser,2012-06-28 11:27:23 +1000,Add basic documentation for QML translation functions.,8,458,4
a8c137f0e6eabb768f156134b06e022d44993ce2,aavit,2012-05-30 11:13:55 +0200,Avoid non-deterministic ordering of glyph nodes.,1,3,6
9f5fa80c05d034876a2cf308cf1c825cd2bc772b,Lars Knoll,2012-06-12 11:52:51 +0200,Use static plugins properly,7,7,27
d3af02f190461c9b98dc2f575aa84945b48ec360,Friedemann Kleint,2012-06-28 10:19:17 +0200,Fix QDockWidgets on XCB.,1,21,16
3650ce5a85f560114de01d61d8bcde03316e9fdc,Shane Kearns,2012-02-28 11:57:12 +0000,Add debug stream operator for QNetworkProxy,2,51,0
c6497e5edcfc533574d4066aa9650eb6967693bc,Xizhi Zhu (Steven),2012-01-23 22:02:57 +0100,Remove Symbian specific code.,19,18,106
1535da8a5923b5829b945cc9fd1dee4cdfbcfe5e,Gunnar Sletta,2012-06-04 16:56:17 +0200,Improve on scenegraph documentation.,16,821,136
0b97f5553097f296e1de3ac88921dbba140ae0d5,Sean Harmer,2012-05-21 11:49:54 +0100,QNX: Take orientation into account when reporting physical size,1,8,3
6e7ab54862e299dcc0de40c9541f340273d91de1,Giuseppe D'Angelo,2012-11-01 23:40:59 +0100,Remove qSort usages from QDnsLookup,1,4,2
7220d7f365d6cfa500db8517493c453603575c8b,Harald Fernengel,2012-03-13 21:02:41 +0100,Fix LSB build,1,3,2
5f7494513e35c92f802ff9fdca4baa6ad2246003,Kai Koehne,2012-09-17 16:39:20 +0200,qmlplugindump: Update help output,1,1,1
b1004b6f8380a46c379b819ef4a5c7ba555f6666,Marc Mutz,2012-02-16 14:37:04 +0100,Compilation fix: missing includes for geteuid(),2,9,0
5b6741c39aaf115406fedcdc15c498785db35a61,Lars Knoll,2012-03-12 12:40:03 +0100,Make QLocalePrivate::updateSystemLocale() reset the locale data on Unix,1,49,21
020196d16b6c25e16bf80483f08e0007a27eab13,Jens Bache-Wiig,2012-11-02 18:35:15 +0100,Make it possible to use mini and small size on mac without widget,2,20,18
ce7a3b0237678de1b1082fea3e594bc4d6723a2f,Stephen Kelly,2012-07-23 14:52:04 +0200,Remove use of qWinMsgHandler.,1,0,2
3a77bbe68b087890fe966035eeb12b917b087c15,Berthold Krevert,2012-06-06 13:52:29 +0200,Fix: Widgets that become top-level widgets may crash the application,2,6,3
7dffcf8a74de16c977ddff930dd17973d2abdf9d,Jonas M. Gastal,2011-12-27 17:20:04 -0200,Clarifying the flow of signals on QNetworkAccessManager.,2,10,1
a3e9228ac413d66c2a59821923c1a7421832f79e,Dmytro Poplavskiy,2012-07-02 17:48:24 +1000,Gst capture: report the actual media location to application,1,2,0
c1056c80fbeadee4b910df00998c837d3c2b44a1,Oswald Buddenhagen,2012-07-12 16:58:09 +0200,remove apparently pointless call to findLibraries(),1,0,1
4c9b4c951934a3ba277dcbf565215305a27d2e06,Andrew den Exter,2012-05-17 16:50:44 +1000,Remove QSKIP from test.,1,0,1
09c90346aa5d44e27daac774413b0354258da71f,Sergio Ahumada,2012-09-23 16:07:57 +0200,"Update ""About Qt"" dialog from Nokia to Digia",1,2,2
38b4e4c96bb6043c93f0eae877cab5231d02c14f,Iikka Eklund,2012-06-08 13:18:03 +0300,Make the create_installer.py to locate ifw tools automaticly,2,18,8
7b15b87ee72ffb583b317f672115be3d5437601a,Andrew den Exter,2012-02-01 17:09:39 +1000,Fix QDeclarativeApplication test failure.,1,2,7
4af3a3abdef768ff067fa23e6dece058d7a6b9e1,Andrew den Exter,2012-02-01 17:42:00 +1000,Fix qdeclarativeecmascript test failure.,1,5,3
aeb4a38ebcf9325423ef0259e70ee8bb11a5a30c,Chris Adams,2012-08-08 16:31:50 +1000,Change error messages to reflect new module terminology,8,113,21
281673e5d3e25f543590bf63bb2b97517486f4e1,Andreas Holzammer,2012-02-08 14:15:33 +0100,Include winsock2.h for ntohl.,1,1,0
00a201aa3fcca045eb7e2217b73505e041eaf4c2,Oswald Buddenhagen,2012-07-23 11:03:27 +0200,fix compilation against namespaced qt,6,16,1
6a1d1165c2392e1ab5f493ce324942faa4d5df43,Jason McDonald,2012-03-27 01:05:41 +1000,Make QGridLayout::getItemPosition() const.,2,5,5
989670737fbb84b6e5c483fd3faccd8d2ab917fe,Kent Hansen,2012-02-17 22:26:27 +0100,Use QMetaMethod::isValid() to check method validity,1,2,2
66399c6584a86180c1955e5d34617fa46b07f36e,Michael Brasser,2012-04-02 10:02:28 +1000,Also check notifier endpoints when checking whether a signal is connected.,14,72,29
84ab326a7b997cd8dbf1bd5ad9bb712a01c7e42e,Caroline Chao,2012-11-08 13:24:20 +0100,Fixes the examples shared macro.,1,1,1
0678a7db8e8eb6997b0acb106dd4347ef8c76fbe,Oswald Buddenhagen,2012-02-08 10:21:28 +0100,remove bizarre magic from precompiled header,1,1,24
2a78bf40acece9aba2b9be882e5a1ca06a8e2135,Kent Hansen,2012-08-24 13:31:52 +0200,Make samegame work again,2,5,5
